,id,latest.cost.avg_net_price,latest.cost.avg_net_price.overall,latest.cost.avg_net_price.consumer.median_by_pred_degree,latest.cost.avg_net_price.consumer.overall_median,latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.cost.booksupply,latest.cost.net_price.by_income_level.0-30000,latest.cost.net_price.by_income_level.30001-48000,latest.cost.net_price.by_income_level.48001-75000,latest.cost.net_price.by_income_level.75001-110000,latest.cost.net_price.by_income_level.110001-plus,latest.cost.net_price.by_income_level.0-48000,latest.cost.net_price.by_income_level.30001-75000,latest.cost.net_price.by_income_level.75000-plus,latest.cost.net_price.consumer.by_income_level.0-48000,latest.cost.net_price.consumer.by_income_level.0-30000,latest.cost.net_price.consumer.by_income_level.30001-48000,latest.cost.net_price.consumer.by_income_level.30001-75000,latest.cost.net_price.consumer.by_income_level.48001-75000,latest.cost.net_price.consumer.by_income_level.750001-111000,latest.cost.net_price.consumer.by_income_level.75000-plus,latest.cost.net_price.consumer.by_income_level.110001-plus,latest.cost.title_iv.all,latest.cost.title_iv.by_income_level.0-30000,latest.cost.title_iv.by_income_level.30001-48000,latest.cost.title_iv.by_income_level.48001-75000,latest.cost.title_iv.by_income_level.75001-110000,latest.cost.title_iv.by_income_level.110001-plus,latest.cost.roomboard.oncampus,latest.cost.roomboard.offcampus,latest.cost.otherexpense.oncampus,latest.cost.otherexpense.offcampus,latest.cost.otherexpense.withfamily
58,232557,29382.0,29382.0,19525.5,15950.5,40567.0,21587.0,21587.0,1299.0,29786.0,27251.0,27305.0,28443.0,31193.0,28972.0,27281.0,30290.0,28972.0,29786.0,27251.0,27281.0,27305.0,28443.0,30290.0,31193.0,2634.0,632.0,299.0,390.0,431.0,882.0,11273.0,9255.0,6310.0,7290.0,6312.0
59,232609,23134.0,23134.0,19525.5,15950.5,54119.0,41880.0,41880.0,1200.0,17706.0,18080.0,20963.0,23778.0,26516.0,17835.0,19899.0,25777.0,17835.0,17706.0,18080.0,19899.0,20963.0,23778.0,25777.0,26516.0,449.0,72.0,38.0,65.0,74.0,200.0,12138.0,12138.0,2050.0,2050.0,4600.0
60,232672,18354.0,18354.0,19525.5,15950.5,43427.0,31110.0,31110.0,900.0,16899.0,17744.0,17336.0,19897.0,21704.0,17242.0,17559.0,20784.0,17242.0,16899.0,17744.0,17559.0,17336.0,19897.0,20784.0,21704.0,349.0,107.0,73.0,61.0,55.0,53.0,9730.0,11250.0,2130.0,2860.0,4560.0
61,232706,22856.0,22856.0,19525.5,15950.5,47495.0,34540.0,34540.0,1000.0,21228.0,21777.0,22571.0,22330.0,25638.0,21425.0,22112.0,24288.0,21425.0,21228.0,21777.0,22112.0,22571.0,22330.0,24288.0,25638.0,264.0,73.0,41.0,30.0,49.0,71.0,14400.0,14454.0,2680.0,5380.0,3180.0
62,232885,,,19525.5,15950.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,233295,25551.0,25551.0,19525.5,15950.5,56509.0,43940.0,43940.0,1200.0,20454.0,20027.0,22621.0,25877.0,28789.0,20248.0,21690.0,27979.0,20248.0,20454.0,20027.0,21690.0,22621.0,25877.0,27979.0,28789.0,295.0,30.0,28.0,50.0,52.0,135.0,12680.0,11250.0,1500.0,1500.0,1500.0
64,233301,23325.0,23325.0,19525.5,15950.5,58880.0,25610.0,25610.0,1280.0,18038.0,20454.0,24945.0,25914.0,26451.0,19125.0,22635.0,26250.0,19125.0,18038.0,20454.0,22635.0,24945.0,25914.0,26250.0,26451.0,105.0,22.0,18.0,17.0,18.0,30.0,11000.0,,3082.0,,
65,233356,,,19525.5,15950.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,233374,27050.0,27050.0,19525.5,15950.5,69606.0,56860.0,56860.0,1100.0,8010.0,8606.0,16063.0,22625.0,45094.0,8279.0,12487.0,39367.0,8279.0,8010.0,8606.0,12487.0,16063.0,22625.0,39367.0,45094.0,359.0,57.0,47.0,51.0,52.0,152.0,13430.0,13430.0,1060.0,1060.0,1060.0
67,233426,26997.0,26997.0,19525.5,15950.5,61545.0,47020.0,47020.0,1000.0,20495.0,20849.0,23983.0,28042.0,32099.0,20626.0,22848.0,30652.0,20626.0,20495.0,20849.0,22848.0,23983.0,28042.0,30652.0,32099.0,445.0,71.0,42.0,74.0,92.0,166.0,14580.0,14830.0,2250.0,2250.0,2250.0
68,233541,30878.0,30878.0,19525.5,15950.5,47850.0,33900.0,33900.0,1500.0,27173.0,26784.0,28685.0,31308.0,33883.0,27003.0,27856.0,33133.0,27003.0,27173.0,26784.0,27856.0,28685.0,31308.0,33133.0,33883.0,360.0,53.0,41.0,53.0,62.0,151.0,10810.0,10810.0,2600.0,2600.0,3980.0
69,233602,14848.0,14848.0,19525.5,15950.5,17258.0,10470.0,10470.0,1200.0,13704.0,,15281.0,17258.0,,13704.0,15281.0,17258.0,13704.0,13704.0,,15281.0,15281.0,17258.0,17258.0,,10.0,4.0,0.0,5.0,1.0,0.0,4883.0,12600.0,3600.0,4300.0,6750.0
70,233611,20834.0,20834.0,19525.5,15950.5,29875.0,17696.0,17696.0,1500.0,18273.0,18650.0,20081.0,21819.0,24927.0,18421.0,19376.0,23289.0,18421.0,18273.0,18650.0,19376.0,20081.0,21819.0,23289.0,24927.0,211.0,51.0,33.0,34.0,49.0,44.0,8774.0,6700.0,3500.0,3500.0,3500.0
71,233684,23189.0,23189.0,19525.5,15950.5,28284.0,13515.0,13515.0,1350.0,22996.0,24154.0,,,,23189.0,24154.0,,23189.0,22996.0,24154.0,24154.0,,,,,6.0,5.0,1.0,0.0,0.0,0.0,,8976.0,,1200.0,1200.0
72,233718,23783.0,23783.0,19525.5,15950.5,38835.0,22700.0,22700.0,1300.0,19645.0,19052.0,22018.0,25670.0,29274.0,19427.0,20980.0,26803.0,19427.0,19645.0,19052.0,20980.0,22018.0,25670.0,26803.0,29274.0,67.0,12.0,7.0,13.0,24.0,11.0,13500.0,7100.0,2850.0,2850.0,2850.0
73,234164,19736.0,19736.0,19525.5,15950.5,32082.0,13530.0,13530.0,2000.0,18941.0,19117.0,21816.0,23159.0,21041.0,18992.0,19979.0,22009.0,18992.0,18941.0,19117.0,19979.0,21816.0,23159.0,22009.0,21041.0,229.0,122.0,49.0,23.0,16.0,19.0,9358.0,5000.0,5000.0,5000.0,7500.0
74,234173,22653.0,22653.0,19525.5,15950.5,50408.0,36910.0,36910.0,1500.0,20336.0,19765.0,22128.0,23879.0,25456.0,20126.0,20931.0,24830.0,20126.0,20336.0,19765.0,20931.0,22128.0,23879.0,24830.0,25456.0,284.0,69.0,40.0,39.0,54.0,82.0,9917.0,9917.0,3100.0,3220.0,3220.0
75,234207,26175.0,26175.0,19525.5,15950.5,73900.0,57285.0,57285.0,2220.0,205.0,850.0,6505.0,13860.0,42003.0,433.0,5507.0,38228.0,433.0,205.0,850.0,5507.0,6505.0,13860.0,38228.0,42003.0,127.0,11.0,6.0,28.0,11.0,71.0,15810.0,,2285.0,,
76,234915,,,19525.5,15950.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,235024,38851.0,38851.0,19525.5,15950.5,50370.0,34200.0,34200.0,1800.0,33383.0,32908.0,37769.0,41719.0,42357.0,33153.0,35260.0,42094.0,33153.0,33383.0,32908.0,35260.0,37769.0,41719.0,42094.0,42357.0,111.0,17.0,16.0,15.0,26.0,37.0,13036.0,13036.0,2998.0,2998.0,2998.0
78,235316,34451.0,34451.0,19525.5,15950.5,61761.0,46920.0,46920.0,1196.0,20762.0,24906.0,26473.0,33526.0,39730.0,22311.0,25981.0,38558.0,22311.0,20762.0,24906.0,25981.0,26473.0,33526.0,38558.0,39730.0,630.0,62.0,37.0,81.0,85.0,365.0,12951.0,12951.0,3735.0,3735.0,3735.0
79,235422,6850.0,6850.0,19525.5,15950.5,25478.0,18332.0,18332.0,930.0,6407.0,6973.0,6475.0,15166.0,,6628.0,6696.0,15166.0,6628.0,6407.0,6973.0,6696.0,6475.0,15166.0,15166.0,,63.0,25.0,16.0,20.0,2.0,0.0,,10494.0,,4034.0,3842.0
80,235547,,,19525.5,15950.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,236133,20729.0,20729.0,19525.5,15950.5,45095.0,33980.0,33980.0,900.0,15928.0,14058.0,18754.0,21372.0,27838.0,15052.0,17222.0,24409.0,15052.0,15928.0,14058.0,17222.0,18754.0,21372.0,24409.0,27838.0,129.0,17.0,15.0,31.0,35.0,31.0,9420.0,9420.0,2600.0,2600.0,3360.0
82,236230,23024.0,23024.0,19525.5,15950.5,56830.0,46850.0,46850.0,930.0,14532.0,15500.0,21062.0,28190.0,28832.0,14977.0,18629.0,28605.0,14977.0,14532.0,15500.0,18629.0,21062.0,28190.0,28605.0,28832.0,444.0,74.0,63.0,81.0,80.0,146.0,11150.0,11150.0,2880.0,2880.0,3216.0
83,236328,33562.0,33562.0,19525.5,15950.5,68072.0,52775.0,52775.0,1000.0,24734.0,24158.0,30077.0,31947.0,41005.0,24480.0,27496.0,38607.0,24480.0,24734.0,24158.0,27496.0,30077.0,31947.0,38607.0,41005.0,350.0,52.0,41.0,53.0,54.0,150.0,13480.0,13480.0,2406.0,2406.0,2406.0
84,236452,22580.0,22580.0,19525.5,15950.5,52603.0,39940.0,39940.0,1000.0,17625.0,19743.0,21034.0,26114.0,27884.0,18533.0,20451.0,27197.0,18533.0,17625.0,19743.0,20451.0,21034.0,26114.0,27197.0,27884.0,252.0,56.0,42.0,51.0,40.0,63.0,12410.0,10510.0,3000.0,3000.0,3000.0
